type,year,total_spending,n_transactions,n_politicians,n_stations,mean_txn,median_txn
campaign_spending,2002,30091894.9700002,56111,4525,12049,536.29225945,50
campaign_spending,2006,68628132.7499999,50373,5640,12024,1362.39915728665,135.88
campaign_spending,2010,112491589.920001,55030,6692,12614,2044.18662402325,500
campaign_spending,2012,189103293.790018,307204,91147,20473,615.562602667913,110.03
campaign_spending,2014,240099006.120009,167508,6733,12225,1433.3584432983,230
campaign_spending,2016,295287042.739968,708352,104480,19382,416.864839430146,126
campaign_spending,2018,162061532.560003,164701,7996,11271,983.974186920538,206.03
campaign_spending,2020,175469324.400032,345126,46889,15502,508.421053180573,150
campaign_spending,2022,213304832.190019,203999,8513,11750,1045.61704807379,220.01
campaign_spending,2024,256872349.660038,340810,19745,18333,753.711304421807,200.72
ceap_spending,2008,17762.94,51,10,24,348.292941176471,89.07
ceap_spending,2009,13920481.0299989,71429,524,9961,194.885565106613,84.74
ceap_spending,2010,16521614.5899983,76635,533,10895,215.588368108571,95
ceap_spending,2011,16592365.4199978,77635,733,9630,213.722746441691,100
ceap_spending,2012,16137376.959998,72222,542,9580,223.441291573204,100
ceap_spending,2013,16087526.0299979,69581,525,9638,231.205731880829,100.02
ceap_spending,2014,15247280.6599979,65506,538,10154,232.761589167406,106.825
ceap_spending,2015,17289255.449998,74630,700,9758,231.666293045693,120.01
ceap_spending,2016,18867343.3799985,72673,544,9887,259.619712685588,140.03
ceap_spending,2017,18450945.2199985,70500,517,9899,261.715535035462,147.455
ceap_spending,2018,17761123.5299985,61835,537,10402,287.234147812727,162
ceap_spending,2019,16519513.5299981,64747,704,9762,255.139443217444,165.01
ceap_spending,2020,10758563.4699991,39910,500,8375,269.570620646455,168.635
ceap_spending,2021,15655826.1699986,54714,510,10185,286.139309317539,204.555
ceap_spending,2022,17605241.509999,52445,517,10770,335.68960835161,238.77
ceap_spending,2023,20563684.6999992,69352,681,10590,296.511776156416,205.88
ceap_spending,2024,22227512.9699995,72728,532,11770,305.62524708503,219.48
ceap_spending,2025,22415267.4499997,71315,507,11590,314.313502769405,232.03
ceaps_spending,2009,3500252.49999999,9893,76,3007,353.81102799959,85
ceaps_spending,2010,4408138.29999996,11554,80,3528,381.524865847327,95.865
ceaps_spending,2011,5768470.46999995,11938,105,3746,483.202418328025,100
ceaps_spending,2012,6123928.36999992,13140,79,3683,466.05238736682,100
ceaps_spending,2013,5712907.59999996,11540,73,3355,495.052651646452,107.915
ceaps_spending,2014,4983816.94999997,7454,72,2184,668.609733029245,131.135
ceaps_spending,2015,5604242.88999996,9649,81,2504,580.810746191317,134.7
ceaps_spending,2016,5916160.98999998,10339,77,2638,572.217911790311,150
ceaps_spending,2017,5781783.43999997,10907,78,2784,530.098417530031,144.82
ceaps_spending,2018,5620092.83999993,10147,77,2508,553.867432738743,150
ceaps_spending,2020,3589103.71999997,4442,67,1425,807.992733003153,165.405
ceaps_spending,2021,4481746.06999996,5754,69,1769,778.8922610358,200
ceaps_spending,2022,5259803.50999995,6769,80,2104,777.042917713104,240.5
ceaps_spending,2023,6557745.23999996,7544,84,2089,869.26633616119,225.005
ceaps_spending,2024,7731023.54999997,9278,76,2428,833.264017029529,237.715
ceaps_spending,2025,8570612.43999996,10284,71,2478,833.392886036565,241.5
state_spending,20,80,1,1,1,80,80
state_spending,21,300,2,2,2,150,150
state_spending,2000,100,1,1,1,100,100
state_spending,2010,250,1,1,1,250,250
state_spending,2012,116,1,1,1,116,116
state_spending,2013,597717.920000001,1773,22,275,337.122346305697,125.04
state_spending,2014,502273.120000001,1683,22,256,298.43916815211,131.16
state_spending,2015,243195.56,1032,21,288,235.654612403101,160.68
state_spending,2016,250420.78,1420,21,235,176.352661971831,150
state_spending,2017,260242.82,1733,18,265,150.16896710906,150
state_spending,2018,452127.178,1228,18,207,368.181741042347,183.5
state_spending,2019,3206118.30999996,14681,90,1789,218.385553436414,152
state_spending,2020,2097405.30000003,9563,83,1512,219.325033985151,160.44
state_spending,2021,3409653.05999998,12406,84,1940,274.839034338224,205.02
state_spending,2022,4158446.84999993,12465,82,2019,333.609855595668,234.05
state_spending,2023,4236189.29999996,14816,111,2138,285.919904157667,200.04
state_spending,2024,4641574.65999994,15243,81,2234,304.505324411205,212.12
state_spending,2025,4839340.12999994,14778,75,2232,327.469219786169,225.575
state_spending,2026,199038.07,599,48,342,332.283923205342,233.69
state_spending,2202,100,1,1,1,100,100
state_spending,,32885180.5500004,91320,267,8146,360.109292049937,148.01
